name,lat,lng,hour,day,available_spots,total_capacity
Gateway of India Parking,18.922,72.834,12,0,50,80
City Centre Mall,26.152,91.776,19,0,79,120
Phoenix Marketcity,19.088,72.882,7,2,233,400
M Chinnaswamy Stadium,12.978,77.599,12,3,402,600
UB City Mall,12.971,77.595,21,5,32,200
M Chinnaswamy Stadium,12.978,77.599,3,6,309,600
Phoenix Marketcity,19.088,72.882,21,1,161,400
Phoenix Marketcity,19.088,72.882,15,1,292,400
Chhatrapati Shivaji Terminus,18.94,72.835,6,4,64,150
Gateway of India Parking,18.922,72.834,21,0,55,80
Phoenix Marketcity,19.088,72.882,12,5,301,400
M Chinnaswamy Stadium,12.978,77.599,11,6,259,600
Gateway of India Parking,18.922,72.834,16,2,45,80
Chhatrapati Shivaji Terminus,18.94,72.835,22,4,113,150
Guwahati Railway Station,26.181,91.75,9,5,216,300
UB City Mall,12.971,77.595,0,4,159,200
Phoenix Marketcity,19.088,72.882,14,4,164,400
M Chinnaswamy Stadium,12.978,77.599,22,2,416,600
Select CITYWALK,28.528,77.218,6,3,243,350
Select CITYWALK,28.528,77.218,11,5,208,350
Guwahati Railway Station,26.181,91.75,21,0,161,300
M Chinnaswamy Stadium,12.978,77.599,23,3,257,600
Connaught Place,28.631,77.219,5,6,137,200
Connaught Place,28.631,77.219,1,6,94,200
Indira Gandhi Athletic Stadium,26.111,91.761,5,1,356,500
Chhatrapati Shivaji Terminus,18.94,72.835,13,4,94,150
City Centre Mall,26.152,91.776,21,0,72,120
Guwahati Railway Station,26.181,91.75,16,5,219,300
Connaught Place,28.631,77.219,14,2,130,200
Phoenix Marketcity,19.088,72.882,17,4,317,400
Phoenix Marketcity,19.088,72.882,5,2,215,400
Guwahati Railway Station,26.181,91.75,6,3,201,300
UB City Mall,12.971,77.595,2,4,149,200
UB City Mall,12.971,77.595,2,4,98,200
Chhatrapati Shivaji Terminus,18.94,72.835,13,4,67,150
Connaught Place,28.631,77.219,23,1,107,200
Connaught Place,28.631,77.219,4,4,115,200
Connaught Place,28.631,77.219,19,4,115,200
Connaught Place,28.631,77.219,16,5,157,200
City Centre Mall,26.152,91.776,23,1,85,120
UB City Mall,12.971,77.595,17,0,98,200
M Chinnaswamy Stadium,12.978,77.599,2,1,441,600
Indira Gandhi Athletic Stadium,26.111,91.761,2,2,242,500
Gateway of India Parking,18.922,72.834,16,4,53,80
City Centre Mall,26.152,91.776,14,2,65,120
India Gate Parking,28.612,77.229,19,6,63,100
Gateway of India Parking,18.922,72.834,6,1,32,80
Gateway of India Parking,18.922,72.834,21,6,40,80
City Centre Mall,26.152,91.776,13,4,71,120
Gateway of India Parking,18.922,72.834,7,0,60,80
Guwahati Railway Station,26.181,91.75,20,5,188,300
M Chinnaswamy Stadium,12.978,77.599,22,2,373,600
Connaught Place,28.631,77.219,19,4,93,200
Connaught Place,28.631,77.219,18,6,151,200
India Gate Parking,28.612,77.229,10,1,48,100
Chhatrapati Shivaji Terminus,18.94,72.835,3,0,68,150
Gateway of India Parking,18.922,72.834,16,6,40,80
Indira Gandhi Athletic Stadium,26.111,91.761,15,6,344,500
M Chinnaswamy Stadium,12.978,77.599,17,1,275,600
Guwahati Railway Station,26.181,91.75,17,4,222,300
UB City Mall,12.971,77.595,0,6,12,200
Guwahati Railway Station,26.181,91.75,20,1,120,300
M Chinnaswamy Stadium,12.978,77.599,21,5,276,600
Indira Gandhi Athletic Stadium,26.111,91.761,8,0,370,500
M Chinnaswamy Stadium,12.978,77.599,8,1,379,600
UB City Mall,12.971,77.595,20,2,93,200
City Centre Mall,26.152,91.776,17,2,53,120
Chhatrapati Shivaji Terminus,18.94,72.835,4,5,97,150
UB City Mall,12.971,77.595,3,1,152,200
Gateway of India Parking,18.922,72.834,10,0,59,80
M Chinnaswamy Stadium,12.978,77.599,14,4,384,600
Select CITYWALK,28.528,77.218,6,1,234,350
Indira Gandhi Athletic Stadium,26.111,91.761,2,2,216,500
City Centre Mall,26.152,91.776,14,3,59,120
UB City Mall,12.971,77.595,14,6,31,200
Gateway of India Parking,18.922,72.834,15,4,56,80
M Chinnaswamy Stadium,12.978,77.599,22,1,263,600
Connaught Place,28.631,77.219,14,3,96,200
Chhatrapati Shivaji Terminus,18.94,72.835,16,5,67,150
Select CITYWALK,28.528,77.218,22,5,202,350
UB City Mall,12.971,77.595,11,5,20,200
Gateway of India Parking,18.922,72.834,23,1,53,80
India Gate Parking,28.612,77.229,9,2,46,100
Chhatrapati Shivaji Terminus,18.94,72.835,17,3,106,150
Gateway of India Parking,18.922,72.834,15,0,59,80
Guwahati Railway Station,26.181,91.75,20,6,203,300
Gateway of India Parking,18.922,72.834,8,6,51,80
City Centre Mall,26.152,91.776,21,1,63,120
Chhatrapati Shivaji Terminus,18.94,72.835,19,5,105,150
Connaught Place,28.631,77.219,13,5,116,200
India Gate Parking,28.612,77.229,15,6,43,100
Select CITYWALK,28.528,77.218,15,2,164,350
Select CITYWALK,28.528,77.218,19,1,196,350
Select CITYWALK,28.528,77.218,18,4,268,350
M Chinnaswamy Stadium,12.978,77.599,8,1,332,600
Chhatrapati Shivaji Terminus,18.94,72.835,22,3,101,150
UB City Mall,12.971,77.595,14,5,39,200
M Chinnaswamy Stadium,12.978,77.599,16,2,407,600
Gateway of India Parking,18.922,72.834,17,3,39,80
City Centre Mall,26.152,91.776,12,0,74,120
M Chinnaswamy Stadium,12.978,77.599,6,1,273,600
Select CITYWALK,28.528,77.218,21,2,209,350
City Centre Mall,26.152,91.776,21,2,93,120
Gateway of India Parking,18.922,72.834,10,2,54,80
Connaught Place,28.631,77.219,11,0,102,200
UB City Mall,12.971,77.595,19,0,122,200
City Centre Mall,26.152,91.776,4,5,8,120
City Centre Mall,26.152,91.776,16,2,81,120
M Chinnaswamy Stadium,12.978,77.599,18,1,256,600
Gateway of India Parking,18.922,72.834,16,4,32,80
India Gate Parking,28.612,77.229,5,6,45,100
Connaught Place,28.631,77.219,6,1,121,200
Connaught Place,28.631,77.219,4,1,109,200
M Chinnaswamy Stadium,12.978,77.599,8,0,422,600
Connaught Place,28.631,77.219,4,5,96,200
UB City Mall,12.971,77.595,5,2,140,200
UB City Mall,12.971,77.595,14,5,32,200
Guwahati Railway Station,26.181,91.75,21,0,180,300
City Centre Mall,26.152,91.776,16,1,67,120
Indira Gandhi Athletic Stadium,26.111,91.761,0,2,368,500
City Centre Mall,26.152,91.776,7,1,85,120
Gateway of India Parking,18.922,72.834,6,0,49,80
Chhatrapati Shivaji Terminus,18.94,72.835,22,0,68,150
UB City Mall,12.971,77.595,14,4,141,200
Indira Gandhi Athletic Stadium,26.111,91.761,9,1,265,500
UB City Mall,12.971,77.595,22,6,19,200
Guwahati Railway Station,26.181,91.75,23,5,204,300
Indira Gandhi Athletic Stadium,26.111,91.761,14,3,257,500
UB City Mall,12.971,77.595,4,6,22,200
Connaught Place,28.631,77.219,15,6,83,200
Guwahati Railway Station,26.181,91.75,7,5,185,300
Gateway of India Parking,18.922,72.834,8,1,56,80
Gateway of India Parking,18.922,72.834,18,3,56,80
Gateway of India Parking,18.922,72.834,12,2,50,80
Indira Gandhi Athletic Stadium,26.111,91.761,6,2,241,500
Chhatrapati Shivaji Terminus,18.94,72.835,20,5,101,150
M Chinnaswamy Stadium,12.978,77.599,2,0,298,600
Chhatrapati Shivaji Terminus,18.94,72.835,13,2,78,150
UB City Mall,12.971,77.595,13,3,154,200
Gateway of India Parking,18.922,72.834,11,6,34,80
M Chinnaswamy Stadium,12.978,77.599,10,5,479,600
India Gate Parking,28.612,77.229,11,0,76,100
City Centre Mall,26.152,91.776,2,6,6,120
M Chinnaswamy Stadium,12.978,77.599,2,5,382,600
UB City Mall,12.971,77.595,20,0,83,200
UB City Mall,12.971,77.595,19,0,110,200
UB City Mall,12.971,77.595,17,5,39,200
Connaught Place,28.631,77.219,7,6,112,200
Gateway of India Parking,18.922,72.834,0,5,43,80
UB City Mall,12.971,77.595,12,1,91,200
India Gate Parking,28.612,77.229,8,1,77,100
UB City Mall,12.971,77.595,3,6,23,200
M Chinnaswamy Stadium,12.978,77.599,20,2,350,600
M Chinnaswamy Stadium,12.978,77.599,17,6,415,600
Connaught Place,28.631,77.219,21,4,109,200
Phoenix Marketcity,19.088,72.882,0,3,277,400
City Centre Mall,26.152,91.776,12,5,17,120
Guwahati Railway Station,26.181,91.75,21,6,146,300
Phoenix Marketcity,19.088,72.882,20,3,237,400
City Centre Mall,26.152,91.776,1,5,7,120
Chhatrapati Shivaji Terminus,18.94,72.835,16,4,72,150
Gateway of India Parking,18.922,72.834,23,5,47,80
Gateway of India Parking,18.922,72.834,13,1,34,80
Gateway of India Parking,18.922,72.834,21,5,61,80
India Gate Parking,28.612,77.229,2,5,68,100
City Centre Mall,26.152,91.776,19,4,60,120
Connaught Place,28.631,77.219,11,2,139,200
